"YEAR","WTCPUE","NUMCPUE","BOT_DEPTH","BOT_TEMP","SURF_TEMP"
"1984",10792.9685,5658.292,157.072192513369,6.0355614973262,11.4139037433155
"1987",4126.2655,2738.1575,136.055813953488,6.34558139534884,10.1479069767442
"1990",1349.6206,615.8257,163.207547169811,5.84654088050314,13.0930817610063
"1993",9861.6149,5314.451,138.032692307692,5.81923076923077,10.9132692307692
"1996",11779.5728,5431.846,132.603411513859,5.4592750533049,8.80341151385928
"1999",6647.2591,3618.0235,121.823960880196,4.92616136919315,7.07555012224939
"2001",5786.1449,3414.6957,115.057251908397,5.95,8.98396946564885
"2003",9543.5958,5092.2163,120.151578947368,6.2578947368421,9.25810526315789
"2005",8936.9949,4127.969,117.631236442516,6.04425162689805,10.0353579175705
"2007",7525.4617,5851.2822,119.786016949153,4.76398305084746,8.50550847457627
"2009",22206.8606,17845.2619,116.352189781022,4.81167883211679,7.99470802919708
"2011",12644.4575,9016.2868,117.081720430108,5.43075268817204,8.55096774193548
"2013",10710.6472,7126.0319,119.169811320755,5.37574123989218,8.80431266846361
