"YEAR","depth","temperature"
1977,81.8799368088468,5.60374407582938
1978,91.7471098265896,5.55528901734104
1979,123.945249597424,4.0775845410628
1980,138.166089965398,4.82231833910035
1981,96.9775596072931,5.59698457223001
1982,124.383259911894,4.56711453744493
1983,116.374712643678,6.38518390804598
1984,95.889466840052,5.45920676202861
1985,68.6849710982659,3.88613439306358
1986,82.0907372400756,5.42038122243226
1987,75.9721590909091,4.15256818181818
1988,66.1250576834333,6.6030110752192
1989,51.8563218390805,6.71715122126437
1990,85.2530864197531,6.47650617283951
1991,96.6603325415677,5.37694333220224
1992,66.0616150019135,6.08811251435132
1993,72,5.42133925549915
1994,67.545534150613,5.19083406304729
1995,101.227950467526,7.07400202173364
1996,137.108552631579,6.69170217611336
1997,69.29711576452,4.86455077044646
1998,57.0913524057217,6.06216771781534
1999,55.2610190684589,5.78209568615192
2000,68.1691087743493,6.79706983278745
2001,67.8362206737838,7.07783142619702
2002,71.4005241839409,6.42282987848463
2003,106.366431391315,7.64219980858954
2004,99.2705358513742,7.31481268232765
2005,86.0993331800414,7.01158197286733
2006,91.5939931246608,7.1997527229962
2007,90.2186880604059,8.01107930155734
2008,92.9715141068675,7.31125210922616
2009,101.524375988448,7.16102592312453
2010,110.72909556314,6.88828093003413
2011,100.601621852326,6.26905420401195
2012,102.136528850522,7.44923228078146
2013,103.704357363645,6.75313879748729
2014,103.015880732458,7.02738988818668
