"Year","depth","temperature","Quarter"
1977,97.6945288753799,11.6400506585613,3
1978,171.816380449141,10.5026948480845,3
1979,143.899533351633,10.9361460334889,3
1980,100.948735019973,12.6112476697736,3
1981,77.0828025477707,14.562235089751,3
1982,162.130841121495,11.4076074766355,3
1983,156.600622810432,10.8312261580381,3
1984,138.850726356359,9.82638600652238,3
1985,130.377258235919,11.6163846971307,3
1986,141.981181051265,10.2648115942029,3
1987,133.072222901137,9.79566760356837,3
1988,120.69870744584,11.4548788154621,3
1989,75.3699330606173,13.0602601338788,3
1990,179.733681462141,11.4610827475397,3
1991,81.7865693081159,13.8113841273641,3
1992,132.295704845815,12.0677232929515,3
1993,130.554111472132,10.5934423894027,3
1994,144.519059816182,12.5873292150068,3
1995,133.408731899956,11.5907189556823,3
1996,123.223237597911,10.8270345953003,3
1997,129.438039309684,11.4586656279962,3
1998,122.050417398946,11.5221364235501,3
1999,110.700731707317,12.0504169146341,3
2000,99.5707607806474,11.9936777492112,3
2001,100.420329255399,11.6204195740825,3
2002,93.3260869565217,12.9058875755831,3
2003,101.530841352085,12.5113684924747,3
2004,94.2135184984268,12.8619370728003,3
2005,95.059811827957,11.5155362903226,3
2006,109.419370860927,11.8063773344371,3
2007,107.640764647468,12.0704505958292,3
2008,94.6752665978672,11.71139250086,3
2009,84.4862800565771,12.7070900141443,3
2010,109.059786337352,12.3339760854651,3
2011,65.1497236859015,13.4345599537335,3
2012,115.034756527876,12.617157833451,3
2013,92.4939104365749,12.5848884204609,3
2014,88.2946361388799,13.710564979039,3
