"","Area2","Species","Habitat","Linf","K","A50","L50","M","MeanF_M","MeanTemp","cvF_M","cvTemp","Fishing","Interaction","Temperature","Total","sigF","sigT"
"1","West US","Arrowtooth flounder","demersal",72.26,0.17,4,37.3,0.166,0.61777783275961,13.0788342857143,0.321033496318939,0.0334487224203015,0.211374179169133,0,0.0699737900558,0.262453227992997,0.003,0.026
"2","West US","Chilipepper rockfish","demersal",56.6,0.2,3,26,0.16,0.663920964655172,13.0455062068966,0.588453231024426,0.0313107088079011,0.176305409005314,0,0,0.172825678400483,0.001,0.354
"3","West US","Dark blotched rockfish","demersal",39.18,0.09,4,27,0.07,1.17129943095238,13.008003,0.66238273382233,0.0332272098387983,0.0118184971155098,0,0.0296357225892251,0.0285532763838588,0.228,0.146
"4","West US","Dover Sole","demersal",47.4,0.09,7,31.1,0.09,1.19762716141975,12.9272433333333,0.402224099355634,0.0343522959132096,0.0384370301352868,0.000830933311435578,0.0943885027916125,0.133656466238335,0.099,0.032
"5","West US","English Sole","demersal",57,0.3,4,23,0.26,0.54179721456044,12.9371333333333,0.460729454554423,0.0320978817248076,0,0.00525996245379634,0.0210114542545264,0.00925079799218909,0.743,0.153
"6","West US","Lingcod","demersal",104,0.2,3.8,55.7,0.18,0.443937458249158,12.9965860606061,0.755062940699575,0.0322827692067792,0.214076747304824,0,0.0581373671205547,0.252547263013713,0.001,0.003
"7","West US","Longspine thornyhead","bathydemersal",31.2,0.064,11,17.8,0.06,0.596329309722222,13.040115,0.77832708001985,0.0343279744054849,0.391350780249608,0,0.00615579565020996,0.392284473198154,0.001,0.248
"8","West US","Petrale sole","demersal",56.24,0.14,5.15,33.1,0.2,1.92344805877193,12.892449122807,0.199441515374089,0.0312806666154258,0.0934228596579795,0,0.00529141615431516,0.0929458500931594,0.001,0.18
"9","West US","Sardine","pelagic",30,0.91,1.25,16,0.4,0.412582626111111,13.0143888888889,0.603487404100442,0.0348348563446605,0.0328959566355934,0,0.0351552156889759,0.0570303706888815,0.125,0.114
"10","West US","Splitnose rockfish","bathydemersal",34.18,0.125,7,19,0.048,0.401154176075269,13.009075483871,0.787347173609484,0.0327295960477296,0.122183483503287,0,0.0148736854745137,0.109599077035534,0.039,0.236
"11","West US","Yelloweye rockfish","demersal",62.38,0.49,11.6,38.78,0.047,1.45672436028369,13.036417,0.622520134180937,0.0310235177136552,0.312283702965044,0.0454583312285683,0.0404924241547077,0.39823445834832,0.001,0.084
"12","Alaska","Walleye pollock (AI)","benthopelagic",58.689,0.3446,4.5,39,0.2,0.634444444444444,4.30836714549953,1.11993844354994,0.0576901614078646,0,0,0.367850077504665,0.265923103835828,0.574,0.069
"13","Alaska","Walleye pollock (GOA)","benthopelagic",57.7,0.32,4.9,43,0.3,0.358447294444444,5.53651508365429,0.382392651312199,0.0766596224895962,0,0.0420775971624738,0,0,0.661,0.945
"14","Alaska","Flathead sole (BSAI)","demersal",44.6,0.1,8.7,24,0.2,0.221508796964286,2.36655968745394,0.30511690895769,0.28237261800431,0,0,0.0637715254050513,0.0251784595225732,0.738,0.064
"15","Alaska","Flathead sole (GOA)","demersal",48.856,0.157,8.74,33.3,0.2,0.0691838409090909,5.48555347046289,0.468552973902102,0.0953669284517133,0.134481403917827,0,0,0.109466480252032,0.026,0.533
"16","Alaska","Pacific cod (EBS)","demersal",104.3,0.22,5.8,67,0.34,0.134453781512605,2.34697335647889,0.409237590028815,0.314045793293817,0.0705767274417947,0,0.0338862895643495,0.103698578136363,0.018,0.077
"17","Alaska","Pacific cod (GOA)","demersal",156.72,0.0825,4.3,65,0.38,0.205741626794258,5.66001447378285,0.738142245858945,0.102438998650992,0.00343496674156851,0.0218181884085663,0,0,0.336,0.654
"18","Alaska","Rex sole (GOA)","demersal",41.82,0.388,5.1,35.2,0.17,0.539196549197861,5.43190126432815,0.503737130850304,0.0711730518569688,0.311981848735619,0,0.0593890164022833,0.226357903533604,0.058,0.218
"19","North Sea","Cod","demersal",123.1,0.23,3.8,69.7,NA,2.17904945317705,6.118040795,0.27619116315307,0.893016876021579,0.0669420822341279,0.0779795754386986,0.0941208626922156,0.239042520365042,0.012,0.002
"20","North Sea","Haddock","demersal",68.3,0.19,2.5,33.5,NA,0.87257840874943,6.118040795,0.446654110996887,1.20995455444354,0.139387821368877,0,0.0105791589781798,0.116417367382116,0.001,0.214
"21","North Sea","Herring","benthopelagic",33.6,0.33,3,25.3,NA,0.952454722798455,6.118040795,0.447772941847302,2.73199069805704,0.00258204655227556,0.00938102688008458,0.000587085263086262,0.0125501586954464,0.314,0.341
"22","North Sea","Mackerel","pelagic",39.9,0.36,1.5,25,0.15,1.90571428571429,6.184783508,0.24923677185157,2.65226278323382,0,0.0105123473180608,0,0,0.562,0.844
"23","North Sea","Norway pout","benthopelagic",23,0.52,2.3,19,NA,1.15789848197343,6.26275935583871,0.783569295662541,1.67066786906473,0,0,0.00102383441834419,0,0.59,0.347
"24","North Sea","Plaice","demersal",54.5,0.11,2.5,26.6,0.1,5.10471052631579,6.118040795,0.334037559396491,1.50586310964928,0.291907943674377,0.111657045567445,0.0366244797411287,0.440189468982951,0.001,0.031
"25","North Sea","Saithe","demersal",177.1,0.07,4.6,55.4,0.2,2.53328947368421,6.118040795,0.250232081290725,1.51719638574071,0.0267245524887902,0.0423057326615286,0.0369496830763631,0.105979968226682,0.12,0.081
"26","North Sea","Sole","demersal",45.3,0.363,4,28.9,0.1,5.26055263157895,6.118040795,0.19422180475976,1.46125242068153,0,0.0118391885243591,0.072377643424467,0.0777716749224868,0.542,0.012
"27","North Sea","Sprat","pelagic",15,0.5,2,11.5,NA,3.00674645418472,6.118040795,0.502030436791,0.713584512389541,0.0246774225488131,0,0.102367037977586,0.10804111858621,0.102,0.007
"28","North Sea","Whiting","demersal",42.4,0.32,1.5,20.2,NA,0.596613581573544,6.41617044796,0.52172083680024,1.70302411960783,0.372004861842472,0,0.00130171777247678,0.351445759190298,0.001,0.362
